id,name,artist,key,mode,tempo,time_signature,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,analysis_url,preview_url
1Zz6xYuOpRWyo79i52wmt6,Compositions 1960: No. 9 - Arr. for Guitar,La Monte Young_Noël Akchoté,2,1,169.472,1,450267,0.446,0.122,-14.529,0.0913,0.733,0.813,0.0915,0.061,https://api.spotify.com/v1/audio-analysis/1Zz6xYuOpRWyo79i52wmt6,https://p.scdn.co/mp3-preview/3263255619fb61db3a0da5ac8c7c888811f5d84c?cid=d15799fa66d145678638eaacc0278873
1cOOso1MxEce2atHG4zkLq,I'm 9 Today,múm,0,1,120.006,4,282187,0.753,0.377,-13.855,0.108,0.00718,0.85,0.101,0.0545,https://api.spotify.com/v1/audio-analysis/1cOOso1MxEce2atHG4zkLq,https://p.scdn.co/mp3-preview/e7e76b126fc27a4d6b9f2141531c42b48023223f?cid=d15799fa66d145678638eaacc0278873
4fQIB3lU4Xhhim4Yj5YMr7,Io,Dawn of Midi,11,0,175.403,3,363122,0.461,0.501,-11.997,0.0738,0.727,0.961,0.119,0.378,https://api.spotify.com/v1/audio-analysis/4fQIB3lU4Xhhim4Yj5YMr7,https://p.scdn.co/mp3-preview/dbdeeca474f8bf13889201fc41cdf874704c5a52?cid=d15799fa66d145678638eaacc0278873
5BOKmvpqQe70y10fz65xp1,They Came in Peace,Tranquility Bass,4,1,81.061,1,499163,0.221,0.406,-13.083,0.0454,0.135,0.872,0.116,0.122,https://api.spotify.com/v1/audio-analysis/5BOKmvpqQe70y10fz65xp1,https://p.scdn.co/mp3-preview/45d7aece56276c2049f36b8fe7d0f1dbe83d900e?cid=d15799fa66d145678638eaacc0278873
3p478gTIpuqDSIfwQS9jA6,The Floating World,Soft Machine,0,1,143.929,4,430653,0.249,0.0484,-26.364,0.0382,0.977,0.858,0.0629,0.135,https://api.spotify.com/v1/audio-analysis/3p478gTIpuqDSIfwQS9jA6,https://p.scdn.co/mp3-preview/0735b0fad6b09d1e5ffb0f26623430b7e9d28738?cid=d15799fa66d145678638eaacc0278873
4WMYjriobgGjisDIdKAfzA,Fluo,Beatrice Dillon_Call Super,8,1,126.97,4,502162,0.744,0.714,-11.18,0.0433,0.00298,0.844,0.13,0.393,https://api.spotify.com/v1/audio-analysis/4WMYjriobgGjisDIdKAfzA,https://p.scdn.co/mp3-preview/50e90d3fc1563342153f4dbaced22b4951b7cef5?cid=d15799fa66d145678638eaacc0278873
1fmoCZ6mtMiqA5GHWPcZz9,A New Error,Moderat,11,0,110.993,4,367307,0.717,0.46,-11.326,0.0372,0.0287,0.785,0.0661,0.0961,https://api.spotify.com/v1/audio-analysis/1fmoCZ6mtMiqA5GHWPcZz9,https://p.scdn.co/mp3-preview/bd95b91e5199ea14d7f63aa3f0d855b565ecdc34?cid=d15799fa66d145678638eaacc0278873
3xmosFuBtBoCeGoYuy0aBn,ONGAKU (2019 Bob Ludwig Remastering),YELLOW MAGIC ORCHESTRA,6,1,147.198,4,207067,0.619,0.994,-4.006,0.054,0.308,0.225,0.924,0.608,https://api.spotify.com/v1/audio-analysis/3xmosFuBtBoCeGoYuy0aBn,https://p.scdn.co/mp3-preview/3e3d372903efb04a505b0a5c51d96406834bf078?cid=d15799fa66d145678638eaacc0278873
62C7oq11SRC0TlY1xvMneC,Ah!,Popol Vuh,8,1,93.864,3,286053,0.214,0.19,-16.801,0.0397,0.972,0.787,0.14,0.0744,https://api.spotify.com/v1/audio-analysis/62C7oq11SRC0TlY1xvMneC,https://p.scdn.co/mp3-preview/edb81f9aa08360f171a96def16cf5784a119a93d?cid=d15799fa66d145678638eaacc0278873
0d2HX14emol25j4C8yL7SP,The Belldog,Brian Eno_Moebius_Roedelius,11,1,110.922,4,379067,0.408,0.43,-12.83,0.0324,0.877,0.922,0.0997,0.14,https://api.spotify.com/v1/audio-analysis/0d2HX14emol25j4C8yL7SP,https://p.scdn.co/mp3-preview/753b21cca1d43b3db4cca6ef45f351afcb960183?cid=d15799fa66d145678638eaacc0278873
3uCkIqD0VzQUijbs8WIizs,These Days,Nico,5,1,93.091,4,210653,0.401,0.13,-17.638,0.0312,0.989,0.305,0.101,0.213,https://api.spotify.com/v1/audio-analysis/3uCkIqD0VzQUijbs8WIizs,
11aqD66CgNU4UXKGz9DtfZ,Genius Of Love,Tom Tom Club,7,1,102.775,4,335000,0.926,0.584,-11.569,0.0861,0.146,0.000199,0.0565,0.751,https://api.spotify.com/v1/audio-analysis/11aqD66CgNU4UXKGz9DtfZ,
